id	text	target	category	polarity
1280166:4	traditional french decour pleasant though hall rather noisy restaurant full raise voice able maintain conversation 	Traditional French decour	AMBIENCE#GENERAL	positive
1280166:4	traditional french decour pleasant though hall rather noisy restaurant full raise voice able maintain conversation 	hall	AMBIENCE#GENERAL	negative
1280179:0	cafe spice probably 5 8 time probably still best indian restaurant around union square 	Cafe Spice	RESTAURANT#GENERAL	positive
1280179:1	sum service varies good mediorce depending waiter get generally average ok 	Service	SERVICE#GENERAL	neutral
1280179:2	seating always prompt though restaurant fill evening 	Seating	SERVICE#GENERAL	positive
1280179:3	food usually good though ocasionally wondered freshmess raw vegatables side order 	Food	FOOD#QUALITY	positive
1280179:3	food usually good though ocasionally wondered freshmess raw vegatables side order 	raw vegatables in side orders	FOOD#QUALITY	negative
1280179:4	many reviewer noticed order often slow arrive particularly true evening problem lunch time 	NULL	SERVICE#GENERAL	neutral
1280179:5	decor vibrant eye pleasing several semi private boths right side dining hall great date 	decor	AMBIENCE#GENERAL	positive
1280179:5	decor vibrant eye pleasing several semi private boths right side dining hall great date 	semi-private boths	AMBIENCE#GENERAL	positive
1286916:0	never disappointed red eye 	Red Eye	RESTAURANT#GENERAL	positive
1286916:1	first time went completely taken live jazz band atmosphere ordered lobster cobb salad 	live jazz band	AMBIENCE#GENERAL	positive
1286916:1	first time went completely taken live jazz band atmosphere ordered lobster cobb salad 	atmosphere	AMBIENCE#GENERAL	positive
1286916:3	simply best meal nyc 	meal	FOOD#QUALITY	positive
1286916:4	cannot go wrong red eye grill 	Red Eye Grill	RESTAURANT#GENERAL	positive
1287538:0	move upper east side would genuinely miss restaurant 	restaurant	RESTAURANT#GENERAL	positive
1287538:2	restaurant cute upscale 	restaurant	RESTAURANT#GENERAL	neutral
1287538:3	food diamond rough food delicious homemade perfect balance herb tomato 	food	FOOD#QUALITY	positive
1287538:3	food diamond rough food delicious homemade perfect balance herb tomato 	balance of herbs and tomatoes	FOOD#QUALITY	positive
1287538:4	would highly recommend 	NULL	RESTAURANT#GENERAL	positive
1287538:5	one favorite place eat ny 	NULL	RESTAURANT#GENERAL	positive
1289424:0	great time jekyll hyde pub last night 	Jekyll and hyde Pub	RESTAURANT#GENERAL	positive
1289424:2	really enjoying bar sat table dinner 	bar	RESTAURANT#MISCELLANEOUS	positive
1289424:3	server really cool served u food drink smile 	server	SERVICE#GENERAL	positive
1289424:4	place decor hidden bathroom made good laugh 	decor	AMBIENCE#GENERAL	positive
1289424:4	place decor hidden bathroom made good laugh 	hidden bathrooms	AMBIENCE#GENERAL	positive
1289424:5	highly recommend visiting restaurant dinner drink 	restaurant	RESTAURANT#GENERAL	positive
1293334:0	type person like scared entertained great place go eat 	place	RESTAURANT#MISCELLANEOUS	positive
1293334:1	husband thougt would great go jekyll hyde pub anniversary surprise fantastic 	Jekyll and Hyde Pub	RESTAURANT#GENERAL	positive
1293334:2	100 different beer offer thier guest made husband happy food delicious must recommend dish must pumkin tortelini 	beers	DRINKS#STYLE_OPTIONS	positive
1293334:2	100 different beer offer thier guest made husband happy food delicious must recommend dish must pumkin tortelini 	food	FOOD#QUALITY	positive
1293334:2	100 different beer offer thier guest made husband happy food delicious must recommend dish must pumkin tortelini 	pumkin tortelini	FOOD#QUALITY	positive
1293334:3	entertainment great show go dinner 	entertainment	AMBIENCE#GENERAL	positive
1293334:4	please take advice go try place 	place	RESTAURANT#GENERAL	positive
1293334:6	disapointed 	NULL	RESTAURANT#GENERAL	positive
1297844:1	dissappointed least bit little gem 	NULL	RESTAURANT#GENERAL	positive
1297844:2	bagel huge 	bagel	FOOD#STYLE_OPTIONS	positive
1297844:3	served warm soft fluffy interior 	NULL	FOOD#QUALITY	positive
1297844:4	worker also absolutely load bagel cream cheese get little messy 	bagel	FOOD#STYLE_OPTIONS	negative
1297844:5	loved would highly recommend 	NULL	RESTAURANT#GENERAL	positive
1300636:0	frist time cafe st bart must say delicous food service 	food	FOOD#QUALITY	positive
1300636:0	frist time cafe st bart must say delicous food service 	service	SERVICE#GENERAL	positive
1300636:2	highly recommend lobster roll much mayo tell fresh lobster 	lobster roll	FOOD#QUALITY	positive
1300636:2	highly recommend lobster roll much mayo tell fresh lobster 	lobster	FOOD#QUALITY	positive
1300636:3	guest enjoyed pizza santa fe chopped salad fish chip 	pizza	FOOD#QUALITY	positive
1300636:3	guest enjoyed pizza santa fe chopped salad fish chip 	santa fe chopped salad	FOOD#QUALITY	positive
1300636:3	guest enjoyed pizza santa fe chopped salad fish chip 	fish and chips	FOOD#QUALITY	positive
1300636:4	highly recommend cafe st bart food ambience wonderful service 	food	FOOD#QUALITY	positive
1300636:4	highly recommend cafe st bart food ambience wonderful service 	ambience	AMBIENCE#GENERAL	positive
1300636:4	highly recommend cafe st bart food ambience wonderful service 	service	SERVICE#GENERAL	positive
1303888:0	staff absolutely professional 	staff	SERVICE#GENERAL	positive
1303888:3	must every restaurant 	NULL	SERVICE#GENERAL	positive
1303888:5	nice quiet small enough 6 	NULL	AMBIENCE#GENERAL	positive
1303984:0	restaurant way overhyped 	restaurant	RESTAURANT#GENERAL	negative
1303984:1	chow fun chow see really bland oily 	chow fun and chow see	FOOD#QUALITY	negative
1303984:2	okay mind oily part cause cooked way way bland 	NULL	FOOD#QUALITY	negative
1303984:3	scallion pancake fried dumpling nothing ordinary 	scallion pancakes	FOOD#QUALITY	neutral
1303984:3	scallion pancake fried dumpling nothing ordinary 	fried dumplings	FOOD#QUALITY	neutral
1308557:0	service thing good restaurant 	service	SERVICE#GENERAL	positive
1308557:0	service thing good restaurant 	restaurant	RESTAURANT#GENERAL	negative
1308557:1	boring inside sushi pretty average tuna soggy roll flavor 	NULL	AMBIENCE#GENERAL	negative
1308557:1	boring inside sushi pretty average tuna soggy roll flavor 	sushi	FOOD#QUALITY	negative
1308557:1	boring inside sushi pretty average tuna soggy roll flavor 	tuna	FOOD#QUALITY	negative
1308557:1	boring inside sushi pretty average tuna soggy roll flavor 	rolls	FOOD#QUALITY	negative
1308557:2	definitely wouldn go back 	NULL	RESTAURANT#GENERAL	negative
1310217:1	pad penang delicious everything else fantastic 	pad penang	FOOD#QUALITY	positive
1310217:1	pad penang delicious everything else fantastic 	NULL	FOOD#QUALITY	positive
1310217:2	price reasonable although service poor 	NULL	RESTAURANT#PRICES	positive
1310217:2	price reasonable although service poor 	service	SERVICE#GENERAL	negative
1318537:0	fresh restaurant amazing food delicious course fresh 	fresh restaurant	RESTAURANT#GENERAL	positive
1318537:0	fresh restaurant amazing food delicious course fresh 	food	FOOD#QUALITY	positive
1318537:1	great romantic evening fun evening friend 	NULL	AMBIENCE#GENERAL	positive
1318537:1	great romantic evening fun evening friend 	NULL	RESTAURANT#MISCELLANEOUS	positive
1318537:2	going back soon 	NULL	RESTAURANT#GENERAL	positive
1318537:3	keep good work 	NULL	RESTAURANT#GENERAL	positive
1318537:4	hat chef 	chef	FOOD#QUALITY	positive
1328078:2	wonderful 	NULL	RESTAURANT#GENERAL	positive
1328078:3	salad delicious refreshing spicy 	salads	FOOD#QUALITY	positive
1328078:4	pam special fried fish amazing 	Pam's special fried fish	FOOD#QUALITY	positive
1328078:5	large two people nothing left 	NULL	FOOD#STYLE_OPTIONS	negative
1328078:5	large two people nothing left 	NULL	FOOD#QUALITY	positive
1335154:1	great vibe lot people 	vibe	AMBIENCE#GENERAL	positive
1335154:3	husband perfect well done dry 	NULL	FOOD#QUALITY	positive
1335154:3	husband perfect well done dry 	NULL	FOOD#QUALITY	negative
1335154:4	didn complain liked atmosphere much 	atmosphere	AMBIENCE#GENERAL	positive
1335656:1	hot day fabulous stop enjoy lunch 	NULL	RESTAURANT#GENERAL	positive
1335656:2	ambience cute quaint good business although vacation 	Ambience	AMBIENCE#GENERAL	positive
1335656:2	ambience cute quaint good business although vacation 	NULL	RESTAURANT#MISCELLANEOUS	positive
1335656:3	salad fantastic 	Salads	FOOD#QUALITY	positive
1335656:4	although looking regular lettuce walnut salad got great 	salads	FOOD#QUALITY	positive
1335656:5	ingredient organic real plus 	Ingredients	FOOD#QUALITY	positive
1335656:6	back 	NULL	RESTAURANT#GENERAL	positive
1338124:0	really good inexpensive sushi 	sushi	FOOD#QUALITY	positive
1338124:0	really good inexpensive sushi 	sushi	FOOD#PRICES	positive
1338124:2	spicy tuna roll huge probably best price range 	spicy Tuna roll	FOOD#STYLE_OPTIONS	positive
1338124:2	spicy tuna roll huge probably best price range 	spicy Tuna roll	FOOD#QUALITY	positive
1338124:2	spicy tuna roll huge probably best price range 	spicy Tuna roll	FOOD#PRICES	positive
1338124:3	yellowtail particularly good well 	Yellowtail	FOOD#QUALITY	positive
1338124:4	reservation eat deal however choice fairly limited probably order food eat le 18 going menu 	all you can eat deal	FOOD#STYLE_OPTIONS	negative
1338124:4	reservation eat deal however choice fairly limited probably order food eat le 18 going menu 	all you can eat deal	FOOD#PRICES	negative
1338124:5	event place ll sure stop part town 	place	RESTAURANT#GENERAL	positive
1340075:0	big wong get big ups fine establishment 	Big Wong	RESTAURANT#GENERAL	positive
1340075:1	great price food service 	NULL	RESTAURANT#GENERAL	positive
1340075:1	great price food service 	NULL	RESTAURANT#PRICES	positive
1340075:1	great price food service 	food	FOOD#QUALITY	positive
1340075:1	great price food service 	service	SERVICE#GENERAL	positive
1340075:2	atmosphere noisy waiter literally walking around thing fast 	atmosphere	AMBIENCE#GENERAL	negative
1340075:2	atmosphere noisy waiter literally walking around thing fast 	waiters	SERVICE#GENERAL	positive
1340075:3	food prepared quickly efficiently 	NULL	SERVICE#GENERAL	positive
1340075:4	come reasonable price congee noodle rice dish 3 6 	NULL	FOOD#PRICES	positive
1340075:4	come reasonable price congee noodle rice dish 3 6 	congee	FOOD#PRICES	positive
1340075:4	come reasonable price congee noodle rice dish 3 6 	noodles	FOOD#PRICES	positive
1340075:4	come reasonable price congee noodle rice dish 3 6 	rice dishes	FOOD#PRICES	positive
1340075:5	takeout great since give high quality tupperware well 	takeout	SERVICE#GENERAL	positive
1340075:6	place always crowded popular 	place	RESTAURANT#MISCELLANEOUS	positive
1341354:1	enjoyed nice caesar salad wife arugula goat cheese tasty 	Caesar Salad	FOOD#QUALITY	positive
1341354:1	enjoyed nice caesar salad wife arugula goat cheese tasty 	arugula and goat cheese	FOOD#QUALITY	positive
1341354:2	opted pasta dish served timely fresh 	NULL	SERVICE#GENERAL	positive
1341354:2	opted pasta dish served timely fresh 	pasta dish	FOOD#QUALITY	positive
1341354:3	concluded tiramisu chocolate cake delicious 	tiramisu chocolate cake	FOOD#QUALITY	positive
1341354:4	go back 	NULL	RESTAURANT#GENERAL	positive
1347423:0	recently went restaurant co worker lunch amazing time 	restaurant	RESTAURANT#GENERAL	positive
1347423:1	staff accomodating food absolutely delicious place lovely 	staff	SERVICE#GENERAL	positive
1347423:1	staff accomodating food absolutely delicious place lovely 	food	FOOD#QUALITY	positive
1347423:1	staff accomodating food absolutely delicious place lovely 	place	AMBIENCE#GENERAL	positive
1347423:2	even visit manager wanted make sure enjoying 	Manager	SERVICE#GENERAL	positive
1347423:3	yes price high felt worth 	NULL	RESTAURANT#PRICES	negative
1347423:3	yes price high felt worth 	NULL	RESTAURANT#GENERAL	positive
1347423:4	felt worth 	NULL	RESTAURANT#GENERAL	positive
1349391:0	sometimes get good food ok service 	food	FOOD#QUALITY	positive
1349391:0	sometimes get good food ok service 	service	SERVICE#GENERAL	neutral
1349391:1	sometimes get bad food bad service sometimes get good good bad service 	food	FOOD#QUALITY	negative
1349391:1	sometimes get bad food bad service sometimes get good good bad service 	service	SERVICE#GENERAL	negative
1349391:1	sometimes get bad food bad service sometimes get good good bad service 	service	SERVICE#GENERAL	negative
1349391:1	sometimes get bad food bad service sometimes get good good bad service 	good	FOOD#QUALITY	positive
1349391:2	consistent 	NULL	RESTAURANT#GENERAL	negative
1352948:0	place bistro mean simple dish wine served efficiently bustling atmosphere 	dishes	FOOD#STYLE_OPTIONS	positive
1352948:0	place bistro mean simple dish wine served efficiently bustling atmosphere 	wine	DRINKS#STYLE_OPTIONS	positive
1352948:0	place bistro mean simple dish wine served efficiently bustling atmosphere 	NULL	SERVICE#GENERAL	positive
1352948:0	place bistro mean simple dish wine served efficiently bustling atmosphere 	atmosphere	AMBIENCE#GENERAL	positive
1352948:1	patis go wrong 	Patis	RESTAURANT#GENERAL	positive
1352948:2	eating haut cuisine subtle hint whatever cassuolet steake fritte tripe stew etc simple stuff 	NULL	FOOD#STYLE_OPTIONS	positive
1352948:2	eating haut cuisine subtle hint whatever cassuolet steake fritte tripe stew etc simple stuff 	NULL	FOOD#QUALITY	positive
1352948:3	evaluated term pastis simply wonderful 	Pastis	RESTAURANT#GENERAL	positive
1353599:0	right brooklyn nice cozy place good pizza 	pizza	FOOD#QUALITY	positive
1353599:0	right brooklyn nice cozy place good pizza 	place	AMBIENCE#GENERAL	positive
1353599:1	mine little burnt still delicious goat cheese panchetta raddichio kind bitter though 	raddichio	FOOD#QUALITY	negative
1353599:1	mine little burnt still delicious goat cheese panchetta raddichio kind bitter though 	NULL	FOOD#QUALITY	positive
1353599:2	friend got mushroom pizza tasted better 	mushroom pizza	FOOD#QUALITY	positive
1353599:3	sangria pretty tasty good hot muggy day 	sangria	DRINKS#QUALITY	positive
1353599:4	kind small place guess busy might able fit group kid 	place	RESTAURANT#MISCELLANEOUS	neutral
1353599:5	overall would recommend go back 	NULL	RESTAURANT#GENERAL	positive
1357554:0	started bombay beer big enough two 	Bombay beer	DRINKS#STYLE_OPTIONS	positive
1357554:2	mmmmm delicious 	NULL	FOOD#QUALITY	positive
1357554:3	service slow people friendly 	Service	SERVICE#GENERAL	negative
1357554:3	service slow people friendly 	people	SERVICE#GENERAL	positive
1357554:4	nice place relax conversation 	place	AMBIENCE#GENERAL	positive
1357554:5	wait go back 	NULL	RESTAURANT#GENERAL	positive
1367358:1	food authentic italian delicious 	food	FOOD#QUALITY	positive
1367358:2	pizza terrific homemade pasta 	Pizza	FOOD#QUALITY	positive
1367358:2	pizza terrific homemade pasta 	homemade pasta	FOOD#QUALITY	positive
1367358:3	ambience delightful service impeccable 	Ambience	AMBIENCE#GENERAL	positive
1367358:3	ambience delightful service impeccable 	service	SERVICE#GENERAL	positive
1380450:0	still mad pay lousy food 	food	FOOD#QUALITY	negative
1380450:1	hanger steak like rubber tuna flavorless mention tasted like thawed 	hanger steak	FOOD#QUALITY	negative
1380450:1	hanger steak like rubber tuna flavorless mention tasted like thawed 	tuna	FOOD#QUALITY	negative
1380450:2	service also horrible ambience great 	Service	SERVICE#GENERAL	negative
1380450:2	service also horrible ambience great 	ambience	AMBIENCE#GENERAL	negative
1380450:3	try unless re going hang like rest hipster apparently sense taste 	NULL	RESTAURANT#MISCELLANEOUS	negative
1387314:0	go eat many different restaurant one place go try 	place	RESTAURANT#GENERAL	positive
1387314:1	first time writing review restaurant food service excellent 	food	FOOD#QUALITY	positive
1387314:1	first time writing review restaurant food service excellent 	service	SERVICE#GENERAL	positive
1387314:2	filet mignon dish superb 	filet mignon dish	FOOD#QUALITY	positive
1387314:3	would defiantly come back one top choice 	NULL	RESTAURANT#GENERAL	positive
1387314:4	small cute restaurant 	restaurant	RESTAURANT#GENERAL	positive
1390357:0	absolutely love place 	place	RESTAURANT#GENERAL	positive
1390357:2	like ambience dark original 	ambience	AMBIENCE#GENERAL	positive
1390357:4	sushi amazing 	sushi	FOOD#QUALITY	positive
1390357:5	amazingly cheap 	NULL	FOOD#PRICES	positive
1390357:6	big thumb 	NULL	RESTAURANT#GENERAL	positive
1394712:0	affordable excellent ambient 	ambient	AMBIENCE#GENERAL	positive
1394712:0	affordable excellent ambient 	NULL	RESTAURANT#PRICES	positive
1394712:1	ordered beef noodle soup dish thai section menu nothing got thai 	beef and noodle soup dishes	FOOD#QUALITY	negative
1394712:2	disappointed 	NULL	FOOD#QUALITY	negative
1394712:3	won go place good meal 	meal	FOOD#QUALITY	negative
1394712:4	however think place good hang spot 	place	AMBIENCE#GENERAL	positive
1395421:0	girlfriend stumbled onto hopping place night great time 	place	RESTAURANT#GENERAL	positive
1395421:1	pizza wine excellent service really made place backyard dining area 	Pizza	FOOD#QUALITY	positive
1395421:1	pizza wine excellent service really made place backyard dining area 	wine	DRINKS#QUALITY	positive
1395421:1	pizza wine excellent service really made place backyard dining area 	service	SERVICE#GENERAL	positive
1395421:1	pizza wine excellent service really made place backyard dining area 	backyard dining area	AMBIENCE#GENERAL	positive
1395421:2	one nicest outdoor restaurant ever seen ny italy place rival one country 	outdoor restaurants	AMBIENCE#GENERAL	positive
1395421:3	tell going cover garden glass winter looking forward going snowy night enjoy 	NULL	RESTAURANT#MISCELLANEOUS	positive
1395421:4	check place 	place	RESTAURANT#GENERAL	positive
1395421:5	highly recommended 	NULL	RESTAURANT#GENERAL	positive
1398844:0	first place romantic claimed citysearch editorial review 	place	AMBIENCE#GENERAL	negative
1398844:1	either editor idea romance must sharing conversation next table trying speak louder traffic 57th 	NULL	AMBIENCE#GENERAL	negative
1398844:2	table crammed way close menu typical italian restaurant wine list simply overpriced 	tables	AMBIENCE#GENERAL	negative
1398844:2	table crammed way close menu typical italian restaurant wine list simply overpriced 	menu	FOOD#STYLE_OPTIONS	neutral
1398844:2	table crammed way close menu typical italian restaurant wine list simply overpriced 	wine list	DRINKS#PRICES	negative
1398844:3	slightly average wine start 70 one selection listed 30 	wines	DRINKS#QUALITY	negative
1398844:3	slightly average wine start 70 one selection listed 30 	wines	DRINKS#PRICES	negative
1398844:4	service one would expect joint price category 	Service	SERVICE#GENERAL	negative
1398844:5	instance plate dumped table handed wine list upside etc 	NULL	SERVICE#GENERAL	negative
1398844:6	somehow working italian charm constant mille grazie constitute proper service 	service	SERVICE#GENERAL	negative
1398844:7	completely fair redeeming factor food average couldn make deficiency teodora 	food	FOOD#QUALITY	positive
1398844:7	completely fair redeeming factor food average couldn make deficiency teodora 	Teodora	RESTAURANT#GENERAL	negative
1404042:1	one meal edible bland made weird rosemary orange flavoring 	meals	FOOD#QUALITY	negative
1404042:1	one meal edible bland made weird rosemary orange flavoring 	rosemary or orange flavoring	FOOD#QUALITY	negative
1404042:2	fish overdone 	Fish	FOOD#QUALITY	negative
1404042:3	cute place nice wait staff would never go 	wait staff	SERVICE#GENERAL	positive
1404042:3	cute place nice wait staff would never go 	place	AMBIENCE#GENERAL	positive
1404042:3	cute place nice wait staff would never go 	place	RESTAURANT#GENERAL	negative
1404042:4	someone else recommended dessert also left 	dessert	FOOD#QUALITY	negative
1404042:5	one u actually liked expresso 	expresso	DRINKS#QUALITY	positive
1404042:6	skip restaurant big disappointment 	restaurant	RESTAURANT#GENERAL	negative
1410878:0	myagi one favorite restaurant city place negative review describe sound like somewhere else 	Myagi	RESTAURANT#GENERAL	positive
1410878:1	never bad service fish fresh delicious 	service	SERVICE#GENERAL	positive
1410878:1	never bad service fish fresh delicious 	fish	FOOD#QUALITY	positive
1410878:2	tuna tartar appetizer die 	tuna tartar appetizer	FOOD#QUALITY	positive
1413697:0	come family pizzeria owner almost ashamed say pizza fornino blow family receipies away 	pizza	FOOD#QUALITY	positive
1413697:1	simply amazing 	NULL	FOOD#QUALITY	positive
1413697:2	place cool service prompt curtious 	service	SERVICE#GENERAL	positive
1413697:2	place cool service prompt curtious 	place	AMBIENCE#GENERAL	positive
1413697:3	highly recommend anyone give place try 	place	RESTAURANT#GENERAL	positive
1413697:4	find returning quite often 	NULL	RESTAURANT#GENERAL	positive
1417496:0	restaurant doesn try anything except serve great food great service pleasant atmosphere 	food	FOOD#QUALITY	positive
1417496:0	restaurant doesn try anything except serve great food great service pleasant atmosphere 	service	SERVICE#GENERAL	positive
1417496:0	restaurant doesn try anything except serve great food great service pleasant atmosphere 	atmosphere	AMBIENCE#GENERAL	positive
1417496:1	gimmick food speaks freshness preparation 	food	FOOD#QUALITY	positive
1417496:2	dining room quietly elegant music shout refreshing 	dining room	AMBIENCE#GENERAL	positive
1417496:3	service impeccable unobtrusive staff know know menu present meal attend need 	service	SERVICE#GENERAL	positive
1417496:3	service impeccable unobtrusive staff know know menu present meal attend need 	staff	SERVICE#GENERAL	positive
1417496:4	looking around saw room full new yorkers enjoying real meal real restaurant clubhouse fabulous trying seen 	meal	FOOD#QUALITY	positive
1417496:4	looking around saw room full new yorkers enjoying real meal real restaurant clubhouse fabulous trying seen 	restaurant	AMBIENCE#GENERAL	positive
1417496:5	beautiful experience 	NULL	RESTAURANT#GENERAL	positive
1430994:0	view breathtaking service top notch ambiance wonderfull 	view	LOCATION#GENERAL	positive
1430994:0	view breathtaking service top notch ambiance wonderfull 	service	SERVICE#GENERAL	positive
1430994:0	view breathtaking service top notch ambiance wonderfull 	ambiance	AMBIENCE#GENERAL	positive
1430994:1	staff offer impeccable service 	staff	SERVICE#GENERAL	positive
1430994:2	lobster bisque 2 oz maine lobster 	Lobster Bisque	FOOD#QUALITY	positive
1430994:3	boyfriend new england chowder good think award go lobster bisque 	New England Chowder	FOOD#QUALITY	positive
1430994:3	boyfriend new england chowder good think award go lobster bisque 	Lobster Bisque	FOOD#QUALITY	positive
1430994:5	divine melt mouth 	NULL	FOOD#QUALITY	positive
1430994:6	boyfriend prime rib good 	Prime Rib	FOOD#QUALITY	positive
1430994:7	didn want bottle bubbly weekday got little bottle korbett enough 	bottles of Korbett	DRINKS#STYLE_OPTIONS	positive
1430994:9	cuz good need taste 	NULL	FOOD#QUALITY	positive
1430994:10	re already coming excuse go ahead really soon next wks 	NULL	RESTAURANT#GENERAL	positive
1431154:0	wife ate earlier week stopped ranting raving food 	food	FOOD#QUALITY	positive
1431154:1	like spicy food get chicken vindaloo 	chicken vindaloo	FOOD#QUALITY	positive
1431154:2	spicy offensive 	NULL	FOOD#QUALITY	positive
1431154:3	definitely go back 	NULL	RESTAURANT#GENERAL	positive
1432551:0	go volare 1st class service terrific food 	service	SERVICE#GENERAL	positive
1432551:0	go volare 1st class service terrific food 	food	FOOD#QUALITY	positive
1432551:1	portion large server always surprise u different starter 	portions	FOOD#STYLE_OPTIONS	positive
1432551:2	wine list excellent 	wine list	DRINKS#STYLE_OPTIONS	positive
1439875:0	food amazing especially get chef tasting menu favourite bottle two wine extensive selection wine 	food	FOOD#QUALITY	positive
1439875:0	food amazing especially get chef tasting menu favourite bottle two wine extensive selection wine 	selection of wines	DRINKS#STYLE_OPTIONS	positive
1439875:0	food amazing especially get chef tasting menu favourite bottle two wine extensive selection wine 	Chef's tasting menu	FOOD#QUALITY	positive
1439875:1	place small intimate may feel little crowded service excellent great friend romantic date special occassion 	service	SERVICE#GENERAL	positive
1439875:1	place small intimate may feel little crowded service excellent great friend romantic date special occassion 	place	AMBIENCE#GENERAL	negative
1439875:1	place small intimate may feel little crowded service excellent great friend romantic date special occassion 	place	RESTAURANT#MISCELLANEOUS	positive
1439875:3	food get pricey prixe fixe tasting menu greatest food good price cater food food allergy food like 	food	FOOD#PRICES	negative
1439875:3	food get pricey prixe fixe tasting menu greatest food good price cater food food allergy food like 	prixe fixe tasting menu	FOOD#QUALITY	positive
1439875:3	food get pricey prixe fixe tasting menu greatest food good price cater food food allergy food like 	prixe fixe tasting menu	FOOD#PRICES	positive
1439875:3	food get pricey prixe fixe tasting menu greatest food good price cater food food allergy food like 	NULL	SERVICE#GENERAL	positive
1439875:5	please aware cash amex 	NULL	RESTAURANT#MISCELLANEOUS	neutral
1448587:0	exception lemon salad much pepper eye started watering food decent great 	food	FOOD#QUALITY	neutral
1448587:0	exception lemon salad much pepper eye started watering food decent great 	lemon salad	FOOD#QUALITY	negative
1448587:1	menu limited think counted 4 5 entree 	menu	FOOD#STYLE_OPTIONS	negative
1448587:2	ordered special grilled branzino infused bone difficult eat 	grilled branzino	FOOD#QUALITY	negative
1448587:3	decor place diner ish kind place expect east village romantic simple small sparse 	decor	AMBIENCE#GENERAL	neutral
1448587:4	problem nothing prune particularly memorable 	Prune	RESTAURANT#GENERAL	negative
1448587:5	plan return anytime soon 	NULL	RESTAURANT#GENERAL	negative
1451107:0	place much fun 	place	AMBIENCE#GENERAL	positive
1451107:1	family never expected incredible entertainment restaurant 	entertainment	AMBIENCE#GENERAL	positive
1451107:4	food great 	food	FOOD#QUALITY	positive
1451107:5	really large portion 	portions	FOOD#STYLE_OPTIONS	positive
1451107:6	staff friendliest seen new york 	staff	SERVICE#GENERAL	positive
1451107:7	go back every time city 	NULL	RESTAURANT#GENERAL	positive
1451109:0	want something really different try jekyll hyde 	Jekyll and Hyde	RESTAURANT#GENERAL	positive
1451109:1	lot fun live entertainment kind disney type special effect 	NULL	AMBIENCE#GENERAL	positive
1451109:2	food pretty tradional hot good large portion 	food	FOOD#QUALITY	positive
1451109:2	food pretty tradional hot good large portion 	portions	FOOD#STYLE_OPTIONS	positive
1451109:3	highly recommend 	NULL	RESTAURANT#GENERAL	positive
1457607:0	place lot fun 	place	AMBIENCE#GENERAL	positive
1457607:1	six year old loved 	NULL	RESTAURANT#GENERAL	positive
1457607:2	character really make enjoyable experience 	characters	AMBIENCE#GENERAL	positive
1457607:3	food however one might expect 	food	FOOD#QUALITY	negative
1457607:4	overpriced tasty 	NULL	FOOD#QUALITY	negative
1457607:4	overpriced tasty 	NULL	FOOD#PRICES	negative
1457607:5	however think jeckll hydes one place fun 	Jeckll and Hydes	RESTAURANT#GENERAL	positive
1457607:6	good time 	NULL	RESTAURANT#GENERAL	positive
1459569:0	went wife wait table even though could see many empty reservation sigh 	NULL	SERVICE#GENERAL	negative
1459569:1	service slow wait order get food although crowded 	Service	SERVICE#GENERAL	negative
1459569:2	drink way priced 	Drinks	DRINKS#PRICES	negative
1459569:3	food good great worth wait another visit 	Food	FOOD#QUALITY	neutral
1459569:3	food good great worth wait another visit 	NULL	RESTAURANT#GENERAL	negative
1460715:0	great pizza lunch place 	pizza	FOOD#QUALITY	positive
1460715:1	service quick 	Service	SERVICE#GENERAL	positive
1460715:2	pizza great 	pizza	FOOD#QUALITY	positive
1460715:3	quick important 	NULL	SERVICE#GENERAL	positive
1460715:5	wonderful 	NULL	DRINKS#QUALITY	positive
1470286:0	whenever need sushi fix mizu quality fish great service 	fish	FOOD#QUALITY	positive
1470286:0	whenever need sushi fix mizu quality fish great service 	service	SERVICE#GENERAL	positive
1470286:1	delivery fast 	Delivery	SERVICE#GENERAL	positive
1470286:2	great friendly service fast seating fast delivery excellent sushi 	service	SERVICE#GENERAL	positive
1470286:2	great friendly service fast seating fast delivery excellent sushi 	seating	SERVICE#GENERAL	positive
1470286:2	great friendly service fast seating fast delivery excellent sushi 	Delivery	SERVICE#GENERAL	positive
1470286:2	great friendly service fast seating fast delivery excellent sushi 	sushi	FOOD#QUALITY	positive
1470286:3	little overpriced worth take bite 	NULL	FOOD#PRICES	negative
1470286:3	little overpriced worth take bite 	NULL	FOOD#QUALITY	positive
1470334:1	es bagel either sty town midtown far best bagel ny 	bagel	FOOD#QUALITY	positive
1470334:2	bagel always warm soft inside crispy outside enormous size 	bagels	FOOD#QUALITY	positive
1470334:2	bagel always warm soft inside crispy outside enormous size 	bagels	FOOD#STYLE_OPTIONS	positive
1470334:3	huge selection different cream cheese salad great 	salads	FOOD#QUALITY	positive
1470334:3	huge selection different cream cheese salad great 	cream cheeses	FOOD#STYLE_OPTIONS	positive
1470334:4	lox always fresh 	lox	FOOD#QUALITY	positive
1470334:5	highly recommended 	NULL	RESTAURANT#GENERAL	positive
1471273:2	impressed food 	food	FOOD#QUALITY	negative
1471273:3	price high cramped unappealing resturant 	resturant	RESTAURANT#PRICES	negative
1471273:3	price high cramped unappealing resturant 	resturant	AMBIENCE#GENERAL	negative
1471273:4	zero ambiance boot 	ambiance	AMBIENCE#GENERAL	negative
1476493:0	thought place totally overrated 	place	RESTAURANT#GENERAL	negative
